id,Time,user,text,latitude,longitude
192405824,Sat Nov 17 02:44:58 +0000 2018,PhenomenalGal83,"b'???????? #idontknowwhoneedstohearthisbut @ Chicago, Illinois https://t.co/ii58fYoy9S'",41.883222,-87.632496
397065369,Sat Nov 17 02:43:47 +0000 2018,BigLoovy,b'NEW MUSIC VIDEO OUT NOW! (Bio) ?Tunnel Vision? CrewMix???? ? by: @collect_ent #sorryimlikethis #respect? https://t.co/OHG4PEwoP5',41.883222,-87.632496
2420710740,Sat Nov 17 02:43:30 +0000 2018,DavidRivera564,b'Celo Patrick @ Chop Shop https://t.co/YfzB9tFbiI',41.91016241,-87.67881513
34136263,Sat Nov 17 02:43:00 +0000 2018,brainsc,b'Need a break from heavy beers at #FOBAB? Try the classic styles especially this 1 - Drinking a Sassafrass Brut IPA? https://t.co/8hM4dAY8oi',41.8669,-87.6465
2792788777,Sat Nov 17 02:42:43 +0000 2018,AlkhabbazJawad,"b""I'm at Copernicus Center for Wael Kfoury in Chicago, IL https://t.co/wTSIOk5L8W""",41.96809049,-87.75867443
2864467367,Sat Nov 17 02:41:14 +0000 2018,HotSpotRadio01,b'Tune in via https://t.co/ZyX3De7Ze8 @ Que4 Radio https://t.co/WiAbrgmUao',41.89555,-87.69361
4549162582,Sat Nov 17 02:40:06 +0000 2018,everylotchicago,b'3906 West Montrose Avenue https://t.co/YHDm0YQMeQ',41.96125,-87.72576
885601436670844928,Sat Nov 17 02:40:03 +0000 2018,GrowlingSilver3,"b'Sorry but this isn\'t a ""Dream Match"" at all that i wanted to see."" I wanted to see my WWE crush @beckylynchwwe ? &amp;? https://t.co/ssnuYrZWCA'",41.883222,-87.632496
2526368372,Sat Nov 17 02:39:56 +0000 2018,Kevlar_Bitch,"b'?Goddess Status?#KevlarBLightning \n\nFigure modeling for grotesqueburlesque went well, classical art inspired all ni? https://t.co/6Y3NJGKxyV'",41.883222,-87.632496
18854414,Sat Nov 17 02:36:13 +0000 2018,INDrob83,"b'Deliciously bougie. (at @HotelZachary in Chicago, IL) https://t.co/v9CJyfFk36'",41.94766029,-87.65717115
14665382,Sat Nov 17 02:36:12 +0000 2018,larryodean,"b'Welcome back to the Folk You! stage, Tom Henry! silvie_svp #singersongwriter @ Folk You https://t.co/6ckMWqiaIb'",41.95443,-87.67653
1116311,Sat Nov 17 02:36:01 +0000 2018,bcbeatty,b'#fobab - Drinking a Swimming In the Mangrove by @WolfsRidgeBrew @ FoBAB - Festival of Wood &amp; Barrel-Aged Beers (201? https://t.co/6cOpo8JoNU',41.8669,-87.6465
